code,status,rows,last_date
sh.600811,fail,0,
sh.600816,ok,1886,2025-12-31
sh.600820,ok,1942,2025-12-31
sh.600823,fail,0,
sh.600826,ok,1931,2025-12-31
sh.600827,ok,1942,2025-12-31
sh.600835,ok,1942,2025-12-31
sh.600837,fail,0,
sh.600839,ok,1942,2025-12-31
sh.600845,ok,1941,2025-12-31
sh.600848,ok,1865,2025-12-31
sh.600859,ok,1924,2025-12-31
sh.600862,ok,1942,2025-12-31
sh.600863,ok,1934,2025-12-31
sh.600867,ok,1942,2025-12-31
sh.600869,ok,1929,2025-12-31
sh.600871,ok,1940,2025-12-31
sh.600872,ok,1942,2025-12-31
sh.600873,ok,1942,2025-12-31
sh.600874,ok,1942,2025-12-31
sh.600875,ok,1937,2025-12-31
sh.600879,ok,1942,2025-12-31
sh.600880,ok,1858,2025-12-31
sh.600881,ok,1942,2025-12-31
sh.600884,ok,1942,2025-12-31
sh.600885,ok,1942,2025-12-31
sh.600886,ok,1942,2025-12-31
sh.600887,ok,1942,2025-12-31
sh.600893,ok,1931,2025-12-31
sh.600894,ok,1942,2025-12-31
sh.600895,ok,1942,2025-12-31
sh.600900,ok,1931,2025-12-31
sh.600901,ok,1905,2025-12-31
sh.600903,ok,1932,2025-12-31
sh.600905,ok,1108,2025-12-31
sh.600906,ok,1132,2025-12-31
sh.600908,ok,1942,2025-12-31
sh.600909,ok,1936,2025-12-31
sh.600917,ok,1937,2025-12-31
sh.600918,ok,1356,2025-12-31
sh.600919,ok,1936,2025-12-31
sh.600925,ok,671,2025-12-31
sh.600926,ok,1942,2025-12-31
sh.600927,ok,976,2025-12-31
sh.600928,ok,1662,2025-12-31
sh.600930,ok,115,2025-12-31
sh.600936,ok,1942,2025-12-31
sh.600938,ok,899,2025-12-31
sh.600939,ok,1942,2025-12-31
sh.600941,ok,968,2025-12-31
sh.600956,ok,1340,2025-12-31
sh.600958,ok,1936,2025-12-31
sh.600959,ok,1917,2025-12-31
sh.600967,ok,1942,2025-12-31
sh.600968,ok,1584,2025-12-31
sh.600970,ok,1920,2025-12-31
sh.600971,ok,1942,2025-12-31
sh.600977,ok,1942,2025-12-31
sh.600978,fail,0,
sh.600985,ok,1937,2025-12-31
sh.600988,ok,1936,2025-12-31
sh.600989,ok,1612,2025-12-31
